NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA
ANAMÃ,AM,113,422.37433628318587,449.4185840707965,461.6398230088496,441.06106194690267,497.6991150442478,454.4385840707964,1.1470588235294117
ANANINDEUA,PA,13021,478.8679748099225,511.53434452039016,504.8067199139851,493.73274710083706,601.9706627755165,518.1824898241302,1.7727625761739754
ANANÁS,TO,210,455.20523809523814,482.4704761904762,477.2423809523809,470.412380952381,568.0952380952381,490.6851428571428,1.662551440329218
ANASTÁCIO,MS,244,470.41762295081963,497.1577868852459,488.9282786885246,482.12131147540987,559.672131147541,499.65942622950826,1.9663865546218486
ANCHIETA,ES,936,495.80010683760685,533.371047008547,528.4665598290599,548.6402777777778,658.0555555555555,552.8667094017094,2.3163452708907255
ANDRADAS,MG,426,499.30046948356807,537.1354460093897,530.9140845070423,545.7758215962441,656.4788732394367,553.9209389671362,2.536214953271028
ANDRADINA,SP,811,501.1897657213317,530.7427866831073,524.647718865598,549.508261405672,622.6633785450061,545.750382244143,2.9847908745247147
ANDRELÂNDIA,MG,514,482.42392996108947,511.26731517509734,507.8912451361868,515.4700389105058,586.3813229571984,520.6867704280155,1.834593572778828
ANGICOS,RN,839,465.9711561382598,493.9978545887962,492.86781883194277,486.51287246722285,563.2657926102503,500.52309892729437,1.3894184938036225
ANGRA DOS REIS,RJ,1677,489.62152653548003,527.853488372093,519.9679785330949,523.1994633273703,597.3166368515206,531.5918187239118,2.687650168188371
ANORI,AM,107,442.04579439252336,463.7719626168224,471.95420560747664,449.43177570093457,537.9439252336449,473.02953271028036,1.298206278026906
ANÁPOLIS,GO,6180,508.990355987055,538.8955339805825,529.7294498381877,554.9994012944984,694.7249190938511,565.4679320388349,2.8458305975049245
APARECIDA,SP,359,497.6961002785515,537.6426183844012,529.9130919220055,553.5116991643455,613.259052924791,546.4045125348189,2.6402061855670103
APARECIDA DE GOIÂNIA,GO,6456,487.4936802973978,519.8261926889714,514.2267038413879,515.0131815365552,627.2242874845106,532.7568091697647,2.2034364261168387
APARECIDA DO TABOADO,MS,194,500.9020618556701,521.6551546391753,516.8757731958763,534.6046391752577,611.2371134020618,537.0549484536082,2.9926829268292683
APIAÍ,SP,411,477.70778588807786,515.4627737226277,513.9897810218978,510.8630170316302,559.7566909975669,515.5560097323602,2.105714285714286
APODI,RN,1283,487.08409976617304,515.3723304754482,506.7438035853469,515.3325798908808,646.8433359314107,534.275229929852,1.450453593859037
APUCARANA,PR,1705,495.8555425219941,533.6058064516129,527.8348387096775,541.2259824046921,592.4574780058651,538.1959296187683,3.026944585663447
APUÍ,AM,107,466.68411214953267,496.1439252336449,491.696261682243,489.6336448598131,520.1869158878504,492.8689719626168,1.8297872340425532
AQUIDAUANA,MS,692,467.6709537572254,500.4056358381503,493.1335260115607,485.7407514450867,568.8150289017341,503.1531791907514,2.1626794258373208
AQUIRAZ,CE,1025,470.6103414634146,499.25209756097564,501.49043902439024,505.94800000000004,616.0780487804878,518.6757853658537,1.706072874493927
ARACAJU,SE,17562,507.27533879968115,534.742523630566,527.8820977109668,542.850216376267,665.841020384922,555.7182393804806,2.7030067847903547
ARACATI,CE,1757,468.3807626636312,493.14541832669323,497.601593625498,501.6852020489471,581.4911781445646,508.46083096186686,1.3782081194587028
ARACI,BA,489,473.179754601227,498.46543967280166,490.3249488752556,483.2912065439673,595.8282208588957,508.21791411042943,1.3240072202166064
ARACOIABA,CE,856,456.51705607476634,481.1467289719626,485.5306074766355,484.2734813084112,586.0280373831775,498.6991822429906,1.0047244094488188
ARACRUZ,ES,1231,507.1367181153534,544.9378554021121,532.7432168968319,559.3460601137286,655.5320877335499,559.9391876523152,2.8381703470031545
ARAGARÇAS,GO,239,483.81046025104604,501.82719665271964,494.0786610878661,489.8523012552301,527.7824267782427,499.4702092050209,2.055084745762712
ARAGUANÃ,TO,86,438.44069767441863,459.35348837209307,462.9651162790698,442.19069767441863,543.2558139534884,469.2411627906977,1.1238938053097345
ARAGUARI,MG,1475,512.5398644067797,543.7079322033898,536.0006779661016,557.8225084745762,661.4915254237288,562.3125016949152,3.2264797507788163
ARAGUATINS,TO,705,457.81177304964535,477.1832624113475,480.163829787234,468.98765957446807,572.1418439716313,491.2576737588653,1.6808009422850412
ARAGUAÍNA,TO,3845,486.1613524057217,511.67435630689204,506.505955786736,509.17006501950584,618.4135240572172,526.3850507152146,2.4203672075149445
ARAIOSES,MA,298,457.6493288590604,483.40167785234905,473.0734899328859,456.05503355704695,562.8187919463087,486.5996644295302,1.0918114143920596
ARAME,MA,350,445.6257142857143,472.586,469.66,466.7785714285714,556.6285714285714,482.25577142857145,1.2247340425531914
ARAPIRACA,AL,8290,489.3317008443908,514.8170808202653,507.9677683956574,525.5054885404102,625.4065138721351,532.6057104945718,1.6929570670525809
ARAPOEMA,TO,84,469.18571428571425,469.25119047619046,476.6047619047619,468.0190476190476,555.0,487.6121428571429,1.949438202247191
ARAPONGAS,PR,1245,497.39718875502007,531.1864257028112,525.2980722891566,541.4020883534137,598.2489959839357,538.7065542168675,3.13
ARAPOTI,PR,233,494.95922746781116,534.5283261802575,536.363948497854,532.532618025751,574.0772532188842,534.4922746781116,3.29296875
ARAPUTANGA,MT,318,472.81729559748425,496.988679245283,493.87893081761007,489.92641509433963,619.2452830188679,514.5713207547169,2.5698051948051948
ARARANGUÁ,SC,1080,500.7198148148148,540.3573148148148,534.2236111111112,546.8905555555556,627.8333333333334,550.004925925926,3.339270568278202
ARARAQUARA,SP,3055,528.7569558101472,552.9312602291326,545.7968576104746,584.6993126022913,671.9672667757774,576.8303306055645,3.818585337915235
ARARAS,SP,1051,522.2039010466223,556.5515699333968,546.5392007611798,592.1213130352046,663.13986679353,576.1111703139866,3.576278290025147
ARARI,MA,1008,455.50962301587305,479.2484126984127,481.98025793650794,470.6643849206349,593.1150793650794,496.10355158730164,1.332549388523048
ARARIPE,CE,665,460.93654135338346,493.7281203007519,493.7001503759398,504.00210526315794,593.7744360902255,509.22827067669175,1.2157142857142857
ARARIPINA,PE,2086,473.0389261744966,502.8457813998083,496.7413231064238,511.05,657.4496644295302,528.2251390220517,1.3829694323144104
ARARUAMA,RJ,1378,505.04267053701017,537.439985486212,530.394267053701,546.4869375907111,629.0130624092889,549.6753846153847,2.48408186469585
ARARUNA,PB,603,465.48126036484246,494.12935323383084,490.6038142620232,478.2800995024876,603.9137645107794,506.48165837479274,1.1405594405594406
ARATUBA,CE,350,454.4908571428571,471.51714285714286,477.32114285714283,470.53257142857143,575.5428571428571,489.88091428571425,1.067448680351906
ARAUCÁRIA,PR,1637,501.1188149053146,535.0832620647526,531.6565668906536,536.657727550397,610.7758094074527,543.0584361637141,2.9361600762267748
ARAXÁ,MG,1214,516.6724052718287,551.0095551894564,541.7171334431631,578.2575782537067,701.4332784184514,577.8179901153213,3.3399852180339984
ARAÇATUBA,SP,2637,522.3418657565416,548.8307925673114,540.3105422828972,588.026886613576,662.8289723170269,572.4678119074706,3.6425848265345024
ARAÇOIABA,PE,394,456.1284263959391,478.4893401015228,478.59670050761423,472.7314720812183,523.8071065989848,481.95060913705584,1.1357615894039734
ARAÇOIABA DA SERRA,SP,272,498.72463235294117,542.7338235294118,531.7066176470589,561.9007352941177,605.2941176470588,548.0719852941177,3.1739690721649483
ARAÇUAÍ,MG,1131,478.4311229000884,505.1789566755084,500.2000884173298,507.1415561450044,610.5747126436781,520.3052873563217,1.5784753363228698
ARCOS,MG,483,518.6728778467909,541.7701863354038,535.9184265010352,588.8813664596273,693.3747412008281,575.723519668737,3.154175588865096
ARCOVERDE,PE,2086,484.48691275167783,513.9883029721956,512.7903643336529,530.472435282838,613.1735378715244,530.9823106423777,1.6462612982744453
AREADO,MG,484,493.3640495867769,523.4425619834711,517.8051652892563,534.1690082644628,629.7520661157025,539.706570247934,2.340466926070039
AREIA,PB,634,469.85331230283913,494.3148264984227,490.5932176656151,476.0842271293376,579.5583596214511,502.0807886435331,1.2529182879377432
AREIA BRANCA,RN,856,467.9323598130841,493.31588785046733,489.55700934579437,477.7185747663551,598.9485981308411,505.4944859813084,1.5356463878326996
ARENÁPOLIS,MT,263,469.02509505703426,483.6311787072243,486.26692015209125,476.6912547528517,563.8783269961978,495.89855513307987,2.439297124600639
ARINOS,MG,554,476.19638989169675,492.6720216606498,489.11227436823106,493.22707581227434,580.3971119133574,506.32097472924187,1.5813204508856682
ARIPUANÃ,MT,111,476.2018018018018,503.4873873873874,502.9144144144144,479.4162162162162,535.4954954954954,499.503063063063,3.0448717948717947
ARIQUEMES,RO,1450,482.04413793103447,508.30917241379314,504.02724137931034,506.2275172413793,613.9448275862069,522.9105793103448,2.3606770833333335
AROEIRAS,PB,544,458.63124999999997,480.55569852941176,477.4137867647059,471.4900735294118,608.0882352941177,499.23580882352945,1.022184300341297
ARRAIAS,TO,332,445.93102409638556,467.39969879518077,464.4436746987951,440.91204819277107,523.433734939759,468.42403614457834,1.3131313131313131
ARROIO DO MEIO,RS,132,525.7378787878788,562.0090909090909,551.8166666666667,604.315909090909,657.4242424242424,580.2607575757576,3.633116883116883
ARROIO GRANDE,RS,209,486.56507177033495,504.6712918660287,507.27177033492825,510.6373205741627,564.3062200956938,514.6903349282296,1.8129032258064517
ARTUR NOGUEIRA,SP,710,499.5281690140845,535.104366197183,533.734647887324,547.2208450704226,613.6619718309859,545.85,3.194736842105263
ARUJÁ,SP,1167,501.54413024850044,539.1123393316195,534.0922022279349,543.7096829477292,621.165381319623,547.9247472150814,3.164441321152495
ASSARÉ,CE,721,457.72274618585294,490.3908460471567,489.8933425797503,494.1190013869625,567.2954230235783,499.8842718446602,1.1466069142125481
ASSAÍ,PR,458,494.94061135371174,522.6255458515284,518.8028384279477,526.3552401746725,595.8951965065502,531.7238864628821,2.5804721030042916
ASSIS,SP,1462,509.1006155950752,544.4225034199726,536.9893296853626,561.8897400820794,644.9931600547195,559.4790697674418,3.408942558746736
ASSIS CHATEAUBRIAND,PR,613,495.23115823817295,521.7665579119086,522.3153344208808,526.4900489396412,603.3278955954323,533.8261990212072,3.054416403785489
ASTORGA,PR,376,494.9143617021276,526.1901595744681,521.4933510638298,532.9372340425532,617.0212765957447,538.5112765957447,3.1003861003861
ATALAIA,AL,502,459.22549800796816,483.5970119521913,481.77191235059763,468.47011952191235,564.6215139442231,491.5372111553785,1.2776988636363635
ATALAIA DO NORTE,AM,120,410.7241666666667,429.21083333333337,434.1441666666667,399.6433333333333,409.1666666666667,416.5778333333334,1.0029239766081872
ATIBAIA,SP,1864,518.9271459227467,554.9093884120172,545.6017167381974,580.486373390558,651.9527896995709,570.375482832618,3.8977523137946233
AUGUSTINÓPOLIS,TO,681,462.9983847283407,489.5102790014684,486.5179148311307,474.4212922173275,610.9544787077826,504.88046989721,1.640625
AUGUSTO CORRÊA,PA,511,454.10782778864973,474.76066536203524,467.81898238747556,451.87808219178083,558.160469667319,481.34520547945203,1.0507868383404864
AURIFLAMA,SP,286,498.68356643356645,529.7681818181819,520.0751748251748,551.922027972028,640.0,548.0897902097902,2.4240506329113924
AURORA,CE,485,477.1517525773196,505.31257731958766,495.6068041237113,516.0354639175258,694.020618556701,537.625443298969,1.1403985507246377
AURORA DO PARÁ,PA,218,455.8756880733945,478.26422018348626,472.9169724770642,465.0059633027523,585.8715596330276,491.58688073394495,1.2903846153846155
AUTAZES,AM,159,450.40628930817616,467.67610062893084,468.8194968553459,444.5163522012579,488.42767295597486,463.96918238993715,1.3649732620320856
AVARÉ,SP,1099,516.4062784349409,544.5102820746133,539.9797088262056,579.2730664240219,645.1319381255687,565.0602547770701,3.3228682170542636
AÇAILÂNDIA,MA,1816,472.24107929515424,503.44300660792953,497.48794052863434,496.82169603524227,612.2687224669603,516.4524889867841,1.7441812984891794
AÇU,RN,1498,479.3590120160214,504.00313751668887,496.200867823765,494.481041388518,605.1001335113484,515.8288384512683,1.4958170663692136
BACABAL,MA,2705,466.86107208872454,492.0047319778189,487.9752680221812,486.81445471349355,594.0702402957486,505.5451534195933,1.3500150738619234
BACURI,MA,405,437.80123456790125,456.097037037037,458.8913580246914,442.9881481481482,542.4691358024692,467.64938271604944,0.9429657794676806
BAEPENDI,MG,262,508.8286259541985,539.2232824427481,529.1847328244274,564.0374045801526,690.0,566.2548091603054,2.2316602316602316
BAGÉ,RS,1595,486.91623824451415,525.2319749216301,524.7808777429467,521.0923510971787,581.5172413793103,527.907736677116,2.405275229357798
BAIXA GRANDE,BA,721,465.4782246879334,492.8969486823856,487.5223300970873,480.6694868238558,583.6338418862691,502.0401664355062,1.0850515463917525
BAIXO GUANDU,ES,257,503.7630350194553,532.8443579766537,522.4568093385213,550.6863813229572,637.5875486381323,549.467626459144,2.5989399293286217
BAIÃO,PA,540,446.2990740740741,464.1422222222222,459.6098148148148,444.7046296296296,554.6296296296297,473.8770740740741,0.9630872483221476
BALNEÁRIO CAMBORIÚ,SC,1386,512.326911976912,550.4133477633478,543.9505050505051,563.9550505050505,650.3751803751803,564.2041991341991,4.384875846501129
BALSAS,MA,2475,464.3540606060606,491.7677171717172,486.5850909090909,482.9028686868687,588.3959595959597,502.8011393939394,1.8418958031837915
BAMBUÍ,MG,412,512.6381067961165,540.211650485437,531.4973300970873,566.0808252427184,671.0679611650486,564.2991747572817,2.7046511627906975
BANABUIÚ,CE,277,455.55703971119135,488.0862815884476,492.19277978339346,488.9371841155235,526.9314079422383,490.3409386281588,1.0801526717557253
BANANEIRAS,PB,1085,469.0972350230415,491.27585253456226,489.85963133640547,477.28423963133645,615.0414746543779,508.5116866359447,1.1970046082949308
BANDEIRANTES,PR,839,475.59356376638857,511.2425506555423,510.81895113230036,506.03766388557807,585.4827175208582,517.8350893921336,2.663168940188877
BARAÚNA,RN,428,466.93037383177574,489.45514018691586,491.94672897196267,476.87967289719626,646.7289719626168,514.3881775700935,1.3616412213740459
BARBACENA,MG,3121,514.4385453380327,548.8866709388017,537.535789810958,572.2948093559756,657.5456584428068,566.1402947773149,2.534478021978022
BARBALHA,CE,1552,490.09246134020617,516.3348582474226,510.7105025773196,523.1556701030928,628.7113402061856,533.8009664948453,1.6266774020397208
BARCARENA,PA,2174,467.4998160073597,499.99241030358786,493.28739650413985,473.88367065317385,577.9300827966881,502.51867525298985,1.7376068376068377
BARCELOS,AM,78,457.7961538461538,493.53461538461534,488.25,463.42051282051284,511.28205128205127,482.8566666666667,1.4457142857142857
BARRA,BA,627,454.8700159489633,476.5390749601276,477.9298245614035,460.6583732057416,562.9984051036682,486.59913875598085,1.258130081300813
BARRA BONITA,SP,545,512.3695412844037,540.612110091743,540.8596330275229,559.7332110091743,653.3211009174312,561.379119266055,2.6084529505582137
BARRA DA ESTIVA,BA,816,469.09080882352936,500.54460784313727,489.8591911764706,493.80772058823527,579.9754901960785,506.6555637254902,1.3084994753410284
BARRA DE GUABIRABA,PE,171,470.5520467836257,497.37426900584796,488.26198830409356,492.06315789473683,722.8070175438596,534.2116959064327,1.0823529411764705
BARRA DE SÃO FRANCISCO,ES,574,491.99982578397214,516.6296167247388,510.60958188153313,534.6050522648084,621.1149825783972,534.99181184669,2.0121621621621624
BARRA DO BUGRES,MT,330,467.90272727272725,499.11333333333334,493.8515151515152,483.2921212121212,556.2424242424242,500.0804242424242,2.3526570048309177
BARRA DO CHOÇA,BA,468,473.55961538461537,505.48333333333335,496.52457264957263,491.1418803418803,587.991452991453,510.9401709401709,1.3341423948220066
BARRA DO CORDA,MA,1242,465.33027375201283,491.7115942028986,491.32359098228665,487.20314009661837,608.2286634460547,508.75945249597424,1.4651086240947993
BARRA DO GARÇAS,MT,1421,484.5022519352568,508.4106263194933,505.2800140745954,506.0965517241379,576.8754398311048,516.2329767769177,2.5722755505364203
BARRA DO PIRAÍ,RJ,736,515.1074728260869,546.2652173913044,536.6756793478261,554.6172554347826,684.5108695652174,567.4352989130435,2.5468187274909964
BARRA DO TURVO,SP,43,461.67209302325585,493.0720930232558,506.59767441860464,471.8651162790698,514.8837209302326,489.6181395348837,2.2830188679245285
BARRA MANSA,RJ,1703,506.78678802113916,542.2428655314152,532.048854961832,556.367116852613,688.3617146212566,565.1614679976512,2.7685869030034467
BARRAS,PI,1744,451.14002293577977,474.3896788990826,470.04397935779815,459.57872706422023,580.5848623853211,487.1474541284404,1.0334285714285714
BARREIRA,CE,416,460.6516826923077,492.14663461538464,496.22740384615383,496.85336538461536,581.5384615384615,505.48350961538455,1.174766355140187
BARREIRAS,BA,5130,493.3502729044834,517.007290448343,509.4333138401559,518.2562183235867,649.1539961013646,537.4402183235868,2.025096215522771
BARREIRINHA,AM,348,443.1692528735632,466.7293103448275,459.0824712643678,429.23218390804595,486.4942528735632,456.9414942528735,1.0170278637770898
BARREIRINHAS,MA,850,452.1941176470588,474.8564705882353,470.34258823529416,458.5150588235294,540.0,479.18164705882356,1.1473684210526316
BARREIROS,PE,1062,468.5363465160075,489.7193032015066,493.20018832391713,494.46431261770243,606.195856873823,510.42320150659134,1.4612
BARRETOS,SP,1298,511.49221879815104,537.7091679506934,532.5381355932203,571.0646379044684,630.7550077041602,556.7118335901387,3.1594993581514763
BARRINHA,SP,329,493.8170212765957,518.2686930091186,517.258358662614,526.2115501519758,607.8419452887538,532.6795136778115,2.380580357142857
BARRO,CE,521,483.30978886756236,510.8923224568139,503.3364683301343,521.3441458733205,638.426103646833,531.4617658349327,1.2423146473779385
BARROQUINHA,CE,353,458.0524079320113,492.870538243626,488.4889518413598,483.5549575070821,572.2379603399434,499.04096317280454,1.0489260143198091
BARUERI,SP,4442,504.68509680324183,542.7909500225123,539.0581945069788,553.8251463304817,628.2260243133724,553.7170823953174,3.4198628867889567
BARÃO DE COCAIS,MG,378,504.412962962963,541.0296296296297,527.5388888888889,561.0314814814815,663.5978835978837,559.5221693121692,2.847355769230769
BARÃO DE GRAJAÚ,MA,427,456.35714285714283,484.9526932084309,477.5861826697892,463.0461358313818,561.1241217798595,488.61325526932086,1.1199294532627866
BATAGUASSU,MS,283,480.5713780918728,511.87561837455826,506.9989399293287,504.84487632508836,584.7349823321555,517.8051590106007,2.4907692307692306
