NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,MEDIA_GERAL
-0.899697110892312,-0.5617838703245155,-0.6907576821890079,-0.7226600612608054,-0.7507449714002093,-0.7511462140416447
1.0756244830294244,1.2879329054100872,1.4688719902466643,1.1778199781863767,0.7423481042981157,1.1604000230671527
1.3462715071505782,1.103453198626328,1.0334745415635727,1.0959452706563513,0.8997233943226155,1.1159559999590931
-1.4320383971582487,-1.2899284676981155,-1.4327432584795952,-1.368870808008006,-0.9362563396717503,-1.3106834852641547
-0.40815433074175583,-0.6410860713287035,-0.41461904313258796,-0.3128737210604833,-1.0386237658701107,-0.6207766721414951
-1.1803450904028396,-1.05052614692469,-1.032367611140175,-1.00713628343082,-0.3680417401270571,-0.9112290569362661
1.4127710360524528,1.3018856252320323,1.3766150986664547,1.2589184831838505,1.0946991740738505,1.3170239841086595
-1.0563297062903223,-1.0600314902624017,-0.9381668773867456,-0.9541296756767897,-0.4668082910446694,-0.8916944972740058
2.1227245028419026,1.9124303502282827,1.8236088600761151,1.9560306750039311,1.4109272232107077,1.879720527973199
-0.40635649695277565,-0.4981179147150374,-0.21719298118138014,-0.5345922014037453,-0.31485592282552843,-0.4139971568793403
2.169504521659405,1.7635721587914206,1.7539039487286596,1.8761777457578266,1.491141633502567,1.8491811080485823
-0.37742212162796035,-0.1791985801078547,-0.14641809350165796,-0.16770808190993977,0.23605805683547512,-0.0943941825233219
-0.4349146284157591,-0.32787382824665195,-0.1685333615676706,0.19462742714267156,0.33523923482509466,-0.019223218778915578
-0.42757342219930766,-0.17065504878516286,-0.19263502995247855,-0.5994593165780785,-1.3254297352527709,-0.6453977178195008
-0.17347876731162074,-0.09983228673872449,0.2913934206253954,-0.3053013829933257,-0.3687605244023851,-0.1727397916074532
2.2156290434523456,2.1164004057371986,1.8650037512685165,2.0928422522895302,1.8751118361229568,2.1019321161936673
0.054270599986161246,-0.10788640172551275,0.18559337540831689,0.17217828336714963,0.5725462909945069,0.22007469885219655
0.06793766303484357,0.2949140384682972,0.1662436658199537,0.5167132514727957,0.4695594151972733,0.35187584485191237
0.2036492029993159,0.1314592668678052,0.10556083202142398,-0.1868339269280377,0.5303745440095161,0.1755374668132998
-1.3774498021997479,-1.5134110655579978,-1.191638611335509,-1.0925032812108837,-0.8852822942516547,-1.2213955642707537
