NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
ANAJATUBA,MA,192,451.1875,460.27187499999997,488.6177083333334,458.609375,566.1458333333334,1.2766233766233765,0
ANAJÁS,PA,192,439.08229166666666,459.46197916666665,475.0026041666667,437.6458333333333,496.875,1.1,0
ANAMÃ,AM,101,443.26435643564355,454.85544554455447,475.2445544554455,458.0059405940594,471.6831683168317,1.1939252336448598,0
ANANINDEUA,PA,13469,477.76082114485115,497.0435667087386,511.658333952038,487.9161333432326,558.3740441012695,1.624700956937799,2
ANANÁS,TO,226,449.0070796460177,473.1637168141593,487.9433628318584,460.48185840707964,522.7433628318585,1.3530751708428246,0
ANASTÁCIO,MS,260,455.03076923076924,474.96653846153845,490.44692307692304,460.2796153846154,496.15384615384613,1.4583963691376702,0
ANCHIETA,ES,684,501.0280701754386,524.5270467836257,536.365350877193,535.0808479532163,601.1111111111111,2.0906495360456816,1
ANDRADAS,MG,414,511.9538647342995,536.0031400966184,545.7521739130435,555.9147342995169,613.9613526570048,2.270408163265306,1
ANDRADINA,SP,728,503.53859890109885,519.0388736263736,538.406043956044,546.2447802197802,592.7747252747253,2.5493323442136497,1
ANDRELÂNDIA,MG,437,488.5597254004577,518.6425629290618,525.7029748283753,523.7725400457666,587.0480549199085,1.8359908883826879,2
ANGICOS,RN,812,454.3349753694581,472.8027093596059,490.90295566502465,478.81477832512314,532.4630541871921,1.3319107025607353,0
ANGRA DOS REIS,RJ,1345,491.09338289962824,514.8462453531598,531.5331598513011,515.774498141264,574.8698884758364,2.2277275661717235,2
ANORI,AM,124,439.8346774193548,458.6588709677419,472.06774193548387,450.9927419354839,462.0967741935484,1.0940170940170941,0
ANÁPOLIS,GO,5921,502.5773180206046,524.9486573213984,535.6676912683669,532.9389123458875,615.5885830096267,2.3461410788381745,1
APARECIDA,SP,304,498.85296052631577,533.9348684210527,542.7927631578947,551.3950657894737,582.828947368421,2.296092796092796,1
