NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
PALOTINA,PR,665,491.3613533834586,523.4535338345864,528.1771428571428,546.9954887218045,578.5563909774436,533.7087819548872,3.4427710843373496,2
PANAMBI,RS,1117,484.1871978513876,514.2157564905998,523.1122649955238,532.4427931960608,562.5067144136078,523.292945389436,3.199519230769231,2
PANELAS,PE,840,448.9046428571429,478.2986904761905,496.355,491.1257142857143,552.0952380952381,493.3558571428572,1.2769385699899296,0
PARACAMBI,RJ,927,485.069687162891,518.9590075512406,531.7244875943904,528.7935275080906,609.3851132686084,534.7863646170442,2.410335689045936,2
PARACATU,MG,1714,483.49655775962657,505.1382147024504,520.7529171528588,525.1104434072346,573.0455075845974,521.5087281213536,2.8454025726536445,1
PARACURU,CE,1275,457.1770196078431,482.8296470588236,500.4450980392157,498.3694117647059,519.3411764705883,491.6324705882354,1.4363124560168896,1
PARAGOMINAS,PA,2620,456.5453435114504,485.0645801526717,501.7607251908397,487.0359541984733,560.9083969465648,498.263,1.8559592096876991,1
PARAGUAÇU PAULISTA,SP,650,490.5123076923077,516.5250769230769,532.0032307692308,527.19,580.8923076923077,529.4245846153847,2.6582597730138717,2
PARAIPABA,CE,1040,454.9557692307693,481.0239423076923,496.2273076923077,507.0236538461538,534.1346153846154,494.6730576923077,1.3978549540347294,1
PARAMBU,CE,537,451.1193668528864,476.31061452513967,489.4938547486034,488.5534450651769,506.14525139664806,482.3245065176909,1.2572992700729928,0
PARAMIRIM,BA,1238,454.4904684975767,481.2671243941841,491.49862681744753,499.827140549273,570.6623586429725,499.5491437802908,1.2754833040421794,1
PARANAGUÁ,PR,1745,476.4604584527221,510.9710028653295,526.5371919770773,514.1219484240688,544.8825214899714,514.5946246418338,3.00362483008609,1
PARANATINGA,MT,237,459.3434599156118,487.6649789029536,501.7510548523207,492.95400843881856,524.2194092827004,493.186582278481,2.4232209737827715,1
PARANAVAÍ,PR,2051,477.8886884446611,504.0266211604096,519.0294978059483,515.2019502681618,564.5246221355436,516.1342759629449,2.8210566910914,1
PARANAÍBA,MS,1005,461.9355223880597,483.1048756218906,505.3978109452737,498.6106467661692,535.1442786069651,496.8386268656717,2.4111310592459607,1
PARAOPEBA,MG,640,489.9259375,517.51625,527.5582812499999,543.81421875,618.0,539.3629375,2.395744680851064,2
PARATINGA,BA,304,435.4730263157894,459.0009868421053,480.2861842105263,457.03355263157897,524.4736842105264,471.2534868421052,1.154054054054054,0
PARATY,RJ,733,490.262482946794,526.5723055934516,537.0386084583902,532.4406548431105,576.043656207367,532.4715416098227,2.793582887700534,2
PARAUAPEBAS,PA,5746,455.4488513748695,485.2629655412461,503.51867386007655,488.4439088061261,543.1709014966933,495.1690602158024,2.115432525951557,1
PARAÍBA DO SUL,RJ,730,474.2964383561644,508.72438356164383,523.5531506849314,505.8141095890411,573.972602739726,517.2721369863013,2.3122119815668203,1
PARAÍSO DO TOCANTINS,TO,1569,455.342383683875,483.302166985341,504.891523263225,499.03333333333336,556.5583173996176,499.82554493307833,2.250429307384087,1
PARELHAS,RN,1419,467.4205073995772,493.6498942917547,509.96152219873153,516.3136715997181,585.0035236081748,514.4698238195913,1.6499057196731617,1
PARINTINS,AM,3285,436.706392694064,468.0283409436834,483.0259665144597,461.0272146118721,499.37899543379,469.6333820395738,1.2258536585365851,0
PARIPIRANGA,BA,1247,454.8987971130714,487.4757818765036,499.9803528468324,496.4165998396151,576.1347233360065,502.98125100240577,1.248,1
PARNAMIRIM,RN,4779,479.3543628374137,510.8028248587571,525.447039129525,522.379409918393,575.4760410127642,522.6919355513706,2.2413793103448274,1
PARNARAMA,MA,880,428.9210227272727,452.0946590909091,474.1556818181818,460.4015909090909,520.9090909090909,467.2964090909092,1.1145833333333333,0
PARNAÍBA,PI,7260,465.7478787878788,492.67380165289256,508.5180578512397,498.9346694214876,582.5537190082645,509.6856253443526,1.7924286546301689,1
PAROBÉ,RS,612,469.4321895424837,513.0441176470588,527.1942810457517,519.7624183006535,556.9281045751634,517.2722222222222,2.6384323640960807,1
PARÁ DE MINAS,MG,2393,491.60309235269534,518.3551190973674,529.3557877141662,555.2949017969077,627.7308817384037,544.4679565399081,2.854002254791432,2
PASSIRA,PE,1209,449.78842018196855,479.0169561621175,494.89768403639374,496.7048800661704,516.7907361455749,487.43973531844495,1.2839662447257385,0
PASSO FUNDO,RS,3223,496.12283586720446,534.468290412659,540.7387837418554,550.990133416072,609.277071051815,546.3194228979213,3.797148237826204,2
PASSOS,MG,3534,484.37707979626487,511.6407470288625,527.2266270514997,541.0665534804754,600.7696661007357,533.0161346915677,2.714781746031746,2
PATO BRANCO,PR,2185,493.7753775743707,529.7123569794051,535.9196796338673,552.0681922196796,589.6659038901602,540.2283020594966,3.572769953051643,2
PATOS,PB,5326,469.81832519714607,496.9666353736387,511.8177055951934,516.3409688321442,571.3368381524597,513.2560946301164,1.7860713095634788,1
PATOS DE MINAS,MG,3595,504.4821974965229,532.3644506258693,538.9354102920723,561.4705702364395,645.1182197496523,556.4741696801113,3.1867752622860297,2
PATROCÍNIO,MG,1951,484.56904151717066,514.7974884674526,527.6509994874423,541.6936955407483,614.8641722193747,536.7150794464377,2.815175097276265,2
PATU,RN,1445,446.09134948096886,467.2715570934256,487.039446366782,490.31273356401385,558.878892733564,489.91879584775086,1.354140914709518,0
PAU DOS FERROS,RN,2971,462.70451026590376,492.6398855604174,507.6566812521037,503.9616290811175,592.7701110737125,511.9465634466509,1.6283430679372886,1
PAUDALHO,PE,1204,458.390780730897,480.89518272425255,498.6852990033223,491.2567275747508,530.2491694352159,491.8954318936877,1.4811133200795228,1
PAUINI,AM,99,423.030303030303,442.7818181818182,476.0151515151515,449.4989898989899,474.7474747474748,453.2147474747474,1.492537313432836,0
PAULISTA,PE,7047,470.4714062721725,502.64333759046406,518.7404853128992,510.6377891301263,562.0774797786293,512.9140996168583,1.892401458190932,1
PAULISTANA,PI,1177,441.8994052676296,462.75938827527614,480.4519116397621,486.4218351741716,552.9481733220051,484.8961427357689,1.1997518610421836,0
PAULO AFONSO,BA,3330,467.09672672672673,494.3458258258258,512.8835435435435,504.82666666666665,570.5585585585585,509.9422642642642,1.9040637860082303,1
PAULÍNIA,SP,1441,514.8970159611381,543.3538514920194,550.8836224843859,575.6641915336571,613.8792505204719,559.7355863983346,4.692674210839786,2
PAÇO DO LUMIAR,MA,4728,451.2638959390864,483.9685490693739,502.045304568528,480.1093274111675,536.7385786802031,490.8251311336718,1.6018178785857238,0
