MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,RENDA_FAMILIAR_SM_MEDIA
ARACOIABA,CE,1154,445.1466204506066,525.5854419410745,468.7002599653379,432.26975736568454,492.74956672443676,472.890329289428,0.8320545609548167
ARACRUZ,ES,3290,488.86914893617023,566.1788753799392,509.9773252279635,490.9762310030395,537.5428571428571,518.7088875379939,2.309487599438465
ARAGARÇAS,GO,755,462.7250331125828,542.6031788079471,487.38754966887416,433.765298013245,503.49668874172187,485.99554966887416,1.4893084622383985
ARAGUANÃ,TO,208,440.5576923076923,511.54759615384614,443.84086538461537,408.7379807692308,449.78846153846155,450.8945192307692,1.0162835249042146
ARAGUARI,MG,3557,489.054287320776,565.963227438853,514.0747258926061,480.29330896823166,561.551869552994,522.1874838346921,2.3975419522571495
ARAGUATINS,TO,1248,454.49246794871794,536.544951923077,475.41971153846157,435.9709935897436,497.4727564102564,479.9801762820513,1.4746247319513939
ARAGUAÍNA,TO,7969,465.47111306311956,544.524407077425,487.94806123729455,441.47253105784915,517.8750156857824,491.45822562429413,1.867319430315361
ARAIOSES,MA,525,440.30838095238096,527.5870476190477,469.77561904761905,417.3758095238095,500.4190476190476,471.093180952381,0.9620418848167539
ARAME,MA,386,439.03031088082906,513.6178756476684,457.6935233160622,419.61113989637306,468.4974093264249,459.69005181347154,1.0607541899441342
ARAPIRACA,AL,13427,465.04150592090565,545.3024502867357,489.0157518433008,446.9440157890817,536.8807626424369,496.6368972964921,1.3803742893729432
ARAPOEMA,TO,215,449.9237209302326,524.2762790697674,462.83441860465115,428.7627906976744,473.6744186046512,467.8943255813953,1.3856275303643724
ARAPONGAS,PR,2055,486.1687591240876,565.8923114355231,512.8512895377129,477.0814598540146,547.4978102189781,517.8983260340632,3.0117708333333333
ARAPOTI,PR,529,482.5192816635161,559.8527410207939,506.9986767485822,467.90491493383746,513.695652173913,506.19425330812857,2.41233140655106
ARAPUTANGA,MT,728,459.22925824175826,535.6582417582417,478.1534340659341,432.0423076923077,500.9065934065934,481.1979670329671,1.8235632114884448
ARARANGUÁ,SC,2152,486.5196096654275,565.1001394052045,511.1053903345725,478.9302973977695,534.0125464684015,515.133596654275,2.6240934730056407
ARARAQUARA,SP,6720,502.24321428571426,578.4652529761905,532.7972767857143,498.6755505952381,568.3098214285715,536.0982232142858,2.8369102740583156
ARARAS,SP,2765,502.95146473779386,578.6507414104883,529.4288607594937,506.8841591320072,562.779746835443,536.1389945750452,2.9992213547943543
ARARI,MA,1321,445.8366389099167,528.9888720666162,468.16010598031795,424.8040878122634,512.5056775170325,476.05907645722937,1.168078055964654
ARARIPE,CE,978,444.78190184049083,532.166155419223,468.0735173824131,435.37648261758693,516.0327198364008,479.2861554192229,0.8392805102308529
ARARIPINA,PE,2673,459.2857089412645,544.2875794986905,483.32102506546954,457.05869809203136,528.7661803217359,494.54383838383836,1.2546379847513964
ARARUAMA,RJ,2845,481.006783831283,565.7407029876978,513.9395430579965,472.65462214411247,553.0411247803163,517.2765553602812,2.064153066966798
ARARUNA,PB,857,455.8556592765461,539.704317386231,481.09078179696616,433.8003500583431,528.2380396732789,487.73782963827307,1.0005458515283843
ARATUBA,CE,592,446.12077702702703,529.3,473.5011824324325,434.19493243243244,493.75,475.3733783783784,0.7236614853195165
ARAUCÁRIA,PR,3438,483.28106457242586,566.4214950552647,513.425770796975,471.26620127981386,526.8196625945317,512.2428388598022,2.5714600794000884
ARAXÁ,MG,2536,502.29881703470033,574.6044164037855,520.4957413249211,511.94735804416405,566.2705047318613,535.1233675078864,2.794985775248933
ARAÇATUBA,SP,4749,497.78492314171405,571.185639081912,522.0407243630237,491.9001684565171,552.6173931353969,527.1057696357127,2.803579566751712
ARAÇOIABA DA SERRA,SP,711,480.768776371308,562.9987341772152,517.6023909985935,480.3115330520394,530.548523206751,514.4459915611815,2.3465401785714284
