COD_MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,MUNICIPIO,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
1100288,RO,1857,461.2922994076468,491.3453419493807,506.76526655896606,494.12498653742597,539.3753365643511,498.5806462035542,ROLIM DE MOURA,1.6021083092186854,1
1100304,RO,1935,469.0549870801034,501.2918863049096,517.257519379845,505.69565891472865,546.4496124031008,507.9499328165375,VILHENA,1.8317738791423002,1
1100320,RO,476,448.2021008403362,478.5056722689076,492.8649159663866,487.4254201680672,537.5210084033613,488.9038235294118,SÃO MIGUEL DO GUAPORÉ,1.4446870451237264,0
1100346,RO,367,450.7632152588556,486.467029972752,502.3975476839237,490.69836512261577,554.7138964577657,497.0080108991826,ALVORADA D'OESTE,1.5674518201284797,0
1100403,RO,141,444.8382978723404,482.0234042553192,497.9170212765958,487.02056737588646,541.8439716312057,490.7286524822695,ALTO PARAÍSO,1.2861842105263157,0
1100452,RO,459,448.1997821350763,482.3788671023965,501.30392156862746,482.63420479302835,525.7952069716775,488.06239651416126,BURITIS,1.6143926788685523,0
1101302,RO,325,451.8784615384615,484.196,498.6378461538461,489.2775384615385,543.2,493.43796923076917,MIRANTE DA SERRA,1.4911684782608696,0
1101401,RO,238,445.11512605042014,478.43109243697484,491.97478991596637,483.31050420168066,550.9243697478992,489.9511764705882,MONTE NEGRO,1.569112627986348,0
1101492,RO,389,440.87737789203084,474.37069408740365,491.47377892030846,481.46272493573264,540.5141388174807,485.73974293059126,SÃO FRANCISCO DO GUAPORÉ,1.2985849056603773,0
1200013,AC,384,443.59739583333334,476.01458333333335,491.80494791666666,478.11875000000003,522.96875,482.5008854166666,ACRELÂNDIA,1.2171052631578947,0
1200104,AC,390,444.09615384615387,488.57410256410253,509.10487179487177,485.1566666666667,535.1282051282051,492.412,BRASILÉIA,1.3644144144144144,0
1200203,AC,3665,442.772824010914,477.5133424283765,495.6129877216917,477.12024556616643,561.8553888130969,490.9749577080491,CRUZEIRO DO SUL,1.1128856803797469,0
1200252,AC,209,459.2598086124402,493.61626794258376,514.2665071770335,485.89473684210526,551.2918660287081,500.86583732057414,EPITACIOLÂNDIA,1.3975,1
1200302,AC,418,436.6418660287081,477.01985645933013,491.9346889952153,479.1081339712919,542.4880382775119,485.43851674641144,FEIJÓ,0.9663716814159292,0
1200328,AC,72,430.00972222222225,468.12222222222226,477.9597222222222,464.16805555555555,500.0,468.0519444444444,JORDÃO,0.8513513513513513,0
1200336,AC,509,433.2288801571709,464.1634577603144,480.53831041257365,464.83123772102164,558.7033398821218,480.2930451866405,MÂNCIO LIMA,0.9327067669172933,0
1200351,AC,138,425.00652173913045,456.47898550724636,465.82608695652175,447.136231884058,494.4927536231884,457.788115942029,MARECHAL THAUMATURGO,0.9293981481481481,0
1200385,AC,255,434.20705882352945,466.81960784313725,488.4486274509804,479.6219607843137,530.8235294117648,479.9841568627451,PLÁCIDO DE CASTRO,1.1129679144385027,0
1200393,AC,69,422.3202898550724,468.4811594202899,479.8869565217391,469.53478260869565,586.9565217391304,485.4359420289855,PORTO WALTER,1.1623711340206186,0
1200401,AC,17880,457.0511129753915,491.4281208053692,509.21169463087244,487.22470917225957,562.4563758389262,501.47440268456376,RIO BRANCO,1.3691412123555442,1
1200435,AC,18,444.0833333333333,512.0166666666667,513.1277777777777,484.3444444444445,574.4444444444445,505.6033333333333,SANTA ROSA DO PURUS,1.9404761904761905,1
1200450,AC,724,442.29613259668514,473.56505524861876,496.0861878453039,478.67638121546963,546.1602209944751,487.35679558011054,SENADOR GUIOMARD,1.1225538160469668,0
1200500,AC,835,441.0108982035928,470.20850299401195,490.8974850299401,471.19880239520955,532.9101796407185,481.2451736526946,SENA MADUREIRA,1.006326352530541,0
1200609,AC,585,432.3247863247863,465.4514529914529,483.75606837606836,462.6610256410257,524.9230769230769,473.82328205128204,TARAUACÁ,0.9778325123152709,0
1200708,AC,240,475.39625,488.8645833333333,508.1429166666667,500.08875,576.25,509.7485,XAPURI,1.2888349514563107,1
1200807,AC,262,440.3732824427481,474.64541984732824,488.70076335877866,461.95076335877866,521.4503816793894,477.42412213740465,PORTO ACRE,0.989010989010989,0
1300029,AM,94,432.21489361702123,456.54042553191493,475.4106382978723,452.6170212765957,515.7446808510638,466.5055319148936,ALVARÃES,0.9791666666666666,0
1300086,AM,119,419.2831932773109,473.7613445378151,492.6789915966387,452.0873949579832,511.93277310924367,469.94873949579835,ANAMÃ,0.9519230769230769,0
1300102,AM,101,435.58613861386135,460.03663366336633,480.27821782178216,470.1782178217822,527.7227722772277,474.76039603960396,ANORI,0.7579617834394905,0
1300144,AM,142,448.6429577464789,481.2366197183099,493.70211267605634,478.76901408450703,481.83098591549293,476.83633802816905,APUÍ,1.328125,0
1300300,AM,220,429.1154545454545,452.6281818181818,476.6522727272727,458.8759090909091,522.4545454545455,467.9452727272727,AUTAZES,0.9556010928961749,0
