MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
CHAPECÓ,SC,2888,513.7997922437673,545.0118421052631,536.7951177285319,566.7927285318559,642.7631578947369,561.0325277008311,2.8096509971509973,2
CHARQUEADAS,RS,493,499.28458417849896,531.5673427991886,529.1409736308317,538.1858012170385,601.5821501014199,539.9521703853954,2.346247960848287,2
CHAVAL,CE,297,468.02727272727276,496.0515151515151,500.1488215488216,489.1474747474747,630.1683501683501,516.7086868686869,0.7360703812316716,1
CHOPINZINHO,PR,413,496.2060532687652,530.361985472155,521.6016949152543,549.3363196125908,618.7893462469733,543.2590799031477,2.276378896882494,2
CIANORTE,PR,1307,493.5732976281561,517.5850038255547,514.9691660290741,529.5054322876817,608.6916602907421,532.8649120122418,2.433177570093458,1
CIDADE OCIDENTAL,GO,938,474.03837953091687,506.98773987206823,503.7339019189766,494.5350746268657,556.9509594882729,507.24921108742,1.214987714987715,1
CLEVELÂNDIA,PR,99,490.4929292929293,507.7676767676768,505.8767676767677,501.4353535353535,574.1414141414141,515.9428282828283,2.220833333333333,1
CLÁUDIO,MG,544,512.1310661764705,541.4575367647059,532.9336397058823,571.5716911764706,658.0882352941177,563.2364338235294,2.1138353765323994,2
COARACI,BA,672,469.1328869047619,488.40699404761904,485.7549107142857,476.318005952381,561.6666666666666,496.25589285714284,0.8125,0
COARI,AM,818,452.3463325183374,466.39474327628363,468.9569682151589,448.5894865525672,534.083129584352,474.07413202933986,0.7267400568181818,0
COCOS,BA,617,465.94294975688814,482.19384116693675,479.3476499189627,479.52123176661263,552.4797406807131,491.89708265802267,0.858203125,0
CODAJÁS,AM,167,450.0880239520958,472.3754491017964,472.03413173652694,459.8383233532934,527.3053892215569,476.3282634730538,0.728448275862069,0
CODÓ,MA,1835,460.2008719346049,483.1534604904632,482.2797820163488,469.15896457765666,568.741144414169,492.7068446866485,0.8182684165961049,0
COELHO NETO,MA,1103,451.0692656391659,475.3869446962829,472.8957388939257,461.29664551223937,570.6618313689936,486.26208522212147,0.7440711462450593,0
COLATINA,ES,1930,514.3637823834197,541.9658549222797,531.080207253886,559.7966321243523,658.6839378238342,561.1780829015544,1.9966666666666666,2
COLINAS,MA,814,451.02542997543,469.0036855036855,468.6904176904177,465.97739557739555,559.5577395577395,482.8509336609337,0.7897727272727273,0
COLINAS DO TOCANTINS,TO,695,480.79294964028776,496.7421582733813,494.5969784172662,500.0810071942446,624.6618705035971,519.3749928057554,1.5578571428571428,1
COLNIZA,MT,136,472.37132352941177,499.75294117647053,492.0242647058824,485.6088235294118,550.5882352941177,500.0691176470588,1.7423469387755102,0
COLOMBO,PR,2223,497.7336932073774,534.7831309041835,531.4432298695457,535.402114260009,588.4120557804769,537.5548448043185,2.150797691785472,2
COLORADO,PR,517,482.9709864603482,506.99303675048355,505.0547388781431,510.66769825918766,615.4738878143133,524.2320696324953,2.222176759410802,1
COLORADO DO OESTE,RO,269,495.7037174721189,507.3925650557621,500.5215613382899,514.2780669144981,603.4200743494424,524.2631970260223,2.1398026315789473,1
COLÍDER,MT,348,489.0028735632184,516.301724137931,509.8629310344827,514.6824712643678,599.1379310344828,525.7975862068965,2.2725563909774436,1
COMODORO,MT,147,481.5741496598639,496.4639455782313,503.45714285714286,511.71632653061226,594.421768707483,517.5266666666666,2.4129834254143647,1
CONCEIÇÃO,PB,768,461.45546874999997,480.7615885416667,479.0638020833333,479.8240885416667,593.828125,498.98661458333333,0.7356801909307876,0
CONCEIÇÃO DA BARRA,ES,259,477.4065637065637,504.54671814671815,498.52702702702703,499.4386100386101,578.3783783783783,511.6594594594595,1.3508997429305913,1
CONCEIÇÃO DA FEIRA,BA,360,466.8236111111111,485.9794444444445,484.8744444444444,459.6358333333333,532.8888888888889,486.04044444444446,0.8769487750556793,0
CONCEIÇÃO DO ARAGUAIA,PA,1034,464.0130560928433,482.71295938104447,478.2033849129594,476.2852998065764,563.2301740812379,492.88897485493237,1.1463153384747216,0
CONCEIÇÃO DO COITÉ,BA,1234,486.390680713128,518.1069692058347,511.7475688816856,516.3601296596435,641.5721231766613,534.8354943273905,0.9536693847294292,1
CONCEIÇÃO DO JACUÍPE,BA,727,480.432462173315,503.0050894085282,501.34319119669874,494.23259972489683,582.6409903713893,512.3308665749656,1.0670731707317074,1
CONCEIÇÃO DO MATO DENTRO,MG,308,500.62857142857143,530.213961038961,518.5493506493507,551.9347402597402,621.8181818181819,544.628961038961,1.855421686746988,2
CONCÓRDIA,SC,1029,512.9855199222546,542.3830903790086,530.3599611273081,569.1505344995142,679.067055393586,566.7892322643344,2.9354928017718716,2
CONCÓRDIA DO PARÁ,PA,461,454.25054229934926,477.0344902386117,472.03904555314534,453.69783080260305,554.6637744034707,482.33713665943594,0.9218227424749164,0
CONFRESA,MT,497,469.0625754527163,487.45352112676056,484.6800804828974,483.68712273641853,549.7786720321932,494.93239436619723,1.8498509687034277,0
CONGONHAS,MG,812,511.8607142857143,537.1807881773399,530.8754926108375,567.2552955665025,681.3300492610838,565.7004679802956,2.289989406779661,2
CONSELHEIRO LAFAIETE,MG,2090,521.4672727272728,554.2184210526316,542.7663636363636,581.7465071770334,677.4258373205741,575.5248803827751,2.1570698088039126,2
CONSELHEIRO PENA,MG,323,504.2185758513932,528.3306501547987,523.3291021671827,557.0523219814241,657.4613003095975,554.0783900928792,1.8622448979591837,2
CONTAGEM,MG,7744,522.8775826446281,555.2102660123967,544.0436596074379,576.4125129132232,652.2830578512396,570.1654158057851,2.276591396750792,2
CORAÇÃO DE JESUS,MG,357,484.97703081232487,506.5302521008403,501.65686274509807,495.7949579831932,613.8375350140057,520.5593277310925,1.1016355140186915,1
CORAÇÃO DE MARIA,BA,436,457.88922018348626,489.37591743119265,482.49013761467893,465.64747706422014,570.9633027522935,493.27321100917425,0.7323943661971831,0
CORDEIROS,BA,466,481.7815450643777,512.2937768240344,502.9403433476395,518.3618025751073,626.9527896995709,528.4660515021459,0.8676748582230623,1
COREAÚ,CE,619,466.3197092084007,499.4714054927302,493.7987075928918,522.4463651050081,585.5573505654281,513.5187075928918,0.7256389776357828,1
CORINTO,MG,201,484.38557213930346,517.244776119403,507.4786069651741,510.8965174129353,589.7512437810946,521.9513432835821,1.630813953488372,1
CORNÉLIO PROCÓPIO,PR,1142,495.9950963222417,525.2336252189142,520.7795096322242,542.0690017513135,592.3642732049037,535.2883012259194,2.1130721489526767,1
COROATÁ,MA,915,454.87846994535516,477.49234972677596,473.3558469945355,464.7907103825137,593.5081967213115,492.8051147540984,0.7535317860746721,0
COROMANDEL,MG,406,496.0729064039409,528.4790640394089,518.4275862068965,541.1899014778326,628.0788177339901,542.4496551724138,1.8430379746835444,2
CORONEL FABRICIANO,MG,904,525.5466814159292,555.7398230088495,542.5296460176991,593.3703539823009,704.0486725663717,584.2470353982301,2.274805447470817,2
CORONEL VIVIDA,PR,446,481.17556053811654,512.1708520179372,512.9192825112108,524.3665919282511,605.9192825112108,527.3103139013454,2.25996015936255,1
CORRENTE,PI,1766,441.93578708946774,452.0133069082673,450.702718006795,437.57582106455266,510.83805209513025,458.6131370328426,0.750684306569343,0
CORRENTINA,BA,463,481.9319654427646,500.6144708423326,488.4436285097192,495.65701943844493,606.7386609071274,514.6771490280778,1.1009825327510918,1
