MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA
ALFENAS,MG,4504,489.75510657193604,543.3513765541741,530.288676731794,506.2666296625222,557.5677175843695,525.4459014209591,1.911583246437261
ALHANDRA,PB,693,450.02597402597405,499.00331890331887,488.74646464646463,452.3834054834055,493.8528138528139,476.8023953823954,1.0425925925925925
ALIANÇA,PE,896,463.64285714285717,513.6409598214285,506.35078125,459.14877232142857,532.6116071428571,495.0789955357142,1.026842584167425
ALMEIRIM,PA,607,447.960626029654,497.9212520593081,479.9416803953871,441.0976935749588,480.75782537067545,469.5358154859967,1.1691527446300716
ALMENARA,MG,2073,461.59454896285575,516.559479015919,509.35335262904005,468.7697057404727,511.9995176073324,493.655320791124,1.170849766941556
ALMIRANTE TAMANDARÉ,PR,1839,470.9446982055465,536.2070690592714,516.5012506797173,479.78276237085373,522.6427406199022,505.21570418705824,1.9881380890052356
ALPINÓPOLIS,MG,1358,482.72150220913113,534.709941089838,520.5684830633285,517.8256995581738,538.8954344624448,518.9442120765832,1.7589463220675945
ALTA FLORESTA,MT,1679,465.8265634306135,519.5717093508041,507.41911852293026,476.92870756402624,512.8648004764741,496.52217986896966,2.0960837887067396
ALTA FLORESTA D'OESTE,RO,818,460.2388753056235,512.1541564792176,501.2451100244499,468.4991442542787,485.6234718826406,485.55215158924204,1.423643054277829
ALTAMIRA,PA,6661,456.4380273232248,510.4359855877496,497.74650953310316,456.43311815042784,504.1606365410599,485.04285542711307,1.554831160147108
ALTO ALEGRE,RR,255,457.1654901960784,484.596862745098,479.4211764705882,449.6286274509804,487.05882352941177,471.5741960784313,1.1415384615384616
ALTO DO RODRIGUES,RN,839,460.8379022646007,512.4162097735399,502.6790226460072,458.8337306317044,516.7544696066747,490.3042669845054,1.1748681898066784
ALTO PARAÍSO,RO,315,454.8123809523809,505.01460317460317,496.83492063492065,457.9450793650794,478.3492063492063,478.59123809523805,1.3888888888888888
ALTO SANTO,CE,539,451.67922077922077,499.07087198515774,485.0226345083488,448.3771799628942,502.3376623376623,477.2975139146567,0.7976588628762542
ALTOS,PI,2637,454.25627607129314,503.2813424345847,490.59946909366704,454.89916571861966,491.83921122487675,478.97509290860825,0.9796921061251228
ALVARÃES,AM,166,445.30120481927713,491.8981927710844,479.93192771084335,432.7192771084337,500.2409638554217,470.0183132530121,1.039622641509434
ALVINÓPOLIS,MG,754,476.3167108753315,525.2270557029178,520.2518567639257,493.57519893899206,526.9496021220159,508.4640848806366,1.6080699774266365
ALVORADA,RS,4485,465.9791973244147,538.4706800445931,523.3750947603121,485.0872240802676,518.0075808249721,506.183955406912,1.919700139470014
ALVORADA D'OESTE,RO,667,457.54557721139435,512.5394302848575,498.0143928035982,462.9988005997002,491.24887556221887,484.4694152923538,1.5123642943305187
ALVORADA DO SUL,PR,646,469.8383900928792,518.3363777089783,508.9422600619195,477.27352941176474,511.23839009287923,497.1257894736842,2.0176304654442876
ALÉM PARAÍBA,MG,1078,488.41419294990726,545.0526901669759,530.425974025974,506.7185528756957,569.2439703153989,527.9710760667904,1.8602941176470589
AMAMBAI,MS,1313,460.6507996953541,512.3089108910891,502.13670982482864,471.94333587204875,484.4173648134044,486.29142421934495,1.318637803590285
AMAPÁ,AP,326,445.11748466257666,478.1576687116564,468.2800613496932,433.34539877300614,472.4539877300613,459.4709202453987,1.0293296089385475
AMARANTE,PI,971,449.40916580844487,486.18228630278065,479.0435633367662,438.25211122554066,472.2554067971164,465.02850669412976,0.8427044609665427
AMARANTE DO MARANHÃO,MA,765,453.4549019607843,493.461045751634,482.91019607843134,456.9533333333333,482.5359477124183,473.8630849673203,1.0776378896882495
AMARGOSA,BA,1757,459.2202048947069,517.5925441092771,493.08810472396135,454.1088787706318,519.0648833238474,488.61492316448494,0.9184829059829059
AMERICANA,SP,4594,505.4937744884632,564.9930126251633,553.1341967784066,534.2935132781889,573.6795820635612,546.3188158467567,2.9156729131175467
AMONTADA,CE,1397,456.98289191123837,488.9919828203293,485.1198282032928,455.0006442376521,477.680744452398,472.75521832498214,0.7698760029175784
AMPARO,SP,1946,502.9969167523124,561.7012846865365,548.8061151079137,529.3048304213771,573.9876670092498,543.3593627954779,2.5069237324243714
AMPÉRE,PR,769,472.6130039011704,537.0093628088426,521.0747724317296,499.8002600780234,537.5487646293889,513.609232769831,1.880939226519337
AMÉLIA RODRIGUES,BA,850,466.0348235294117,524.242,505.91411764705884,465.15294117647056,530.1647058823529,498.30171764705875,1.22273526824978
ANAGÉ,BA,797,449.07942283563364,503.06712672521957,489.6094102885822,450.2525721455458,496.3111668757842,477.6639397741531,0.8454345434543454
ANAJATUBA,MA,421,459.329216152019,506.05534441805224,492.8624703087886,458.19239904988126,499.57244655581945,483.2023752969121,1.0606203007518797
ANAJÁS,PA,471,434.7104033970276,493.9715498938429,471.8422505307856,436.3445859872611,463.65180467091295,460.104118895966,0.7931360201511335
ANAMÃ,AM,166,437.5951807228916,480.8024096385542,474.83855421686746,433.48192771084337,474.578313253012,460.2592771084337,0.7929389312977099
ANANINDEUA,PA,24912,473.67135517019915,533.953122992935,513.227332209377,469.39379014129736,535.5442357096981,505.1579672447013,1.3699379760936983
ANANÁS,TO,558,446.5055555555556,490.6937275985663,484.9826164874552,444.95107526881725,479.5698924731183,469.3405734767025,1.0825320512820513
ANASTÁCIO,MS,695,453.87741007194245,505.0427338129497,496.65697841726615,457.83870503597126,479.8791366906475,478.6589928057554,1.2800678952473328
ANCHIETA,ES,1776,487.5769707207207,541.2624436936936,521.490259009009,497.23288288288285,546.865427927928,518.8855968468467,1.7254483347566183
ANDRADAS,MG,962,493.79168399168395,552.7629937629938,540.9734927234928,516.8556133056132,572.6611226611227,535.4089812889813,2.040960451977401
ANDRADINA,SP,2052,484.07894736842104,538.7471247563353,531.043664717349,495.09844054580896,554.0277777777778,520.5991910331384,2.2002897904592063
ANDRELÂNDIA,MG,1314,476.4923896499239,530.4837899543379,517.630593607306,486.53105022831056,538.7975646879756,509.9870776255708,1.4606258596973865
ANGICOS,RN,1663,455.07167769092,503.2734816596513,494.98141912206853,463.27023451593504,503.59591100420926,484.0385447985568,1.046144578313253
ANGRA DOS REIS,RJ,3015,482.0587728026534,546.6484577114428,531.9587396351576,492.52437810945275,552.5472636815921,521.1475223880598,2.0611515303562467
