COD_MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,MUNICIPIO,RENDA_FAMILIAR_SM_MEDIA
3137205,MG,687,510.1676855895197,554.4711790393013,537.8771470160116,589.138864628821,723.5807860262008,583.047132459971,LAGOA DA PRATA,2.3430232558139537
3137601,MG,873,518.7861397479954,561.0841924398626,547.8287514318442,587.5505154639175,693.0813287514319,581.6661855670103,LAGOA SANTA,2.5436259143155695
3137809,MG,337,498.77388724035603,537.7896142433235,531.4875370919881,567.0222551928783,657.8635014836796,558.5873590504451,LAMBARI,1.8174846625766872
3138203,MG,2342,514.088001707942,550.7280102476516,536.6555935098206,577.7340307429548,693.8172502134927,574.6045772843723,LAVRAS,2.071985815602837
3138401,MG,572,503.70227272727277,542.6262237762238,529.3536713286713,561.408041958042,671.9580419580419,561.8096503496504,LEOPOLDINA,1.8261973875181423
3138609,MG,212,501.49528301886795,533.9193396226415,515.922641509434,553.6297169811321,637.8301886792453,548.5594339622642,LIMA DUARTE,1.6483812949640289
3138658,MG,467,469.18479657387576,510.12312633832977,497.46466809421844,522.589721627409,618.8436830835118,523.641199143469,LONTRA,0.8936567164179104
3138807,MG,292,510.297602739726,537.6688356164383,522.9924657534247,562.338698630137,704.1095890410959,567.4814383561645,LUZ,2.0184887459807075
3138906,MG,136,459.03161764705885,483.9382352941177,481.5220588235294,499.5367647058824,599.2647058823529,504.6586764705882,MACHACALIS,1.0851063829787233
3139003,MG,614,507.1169381107492,545.9048859934853,531.81335504886,578.135993485342,703.9087947882737,573.3759934853421,MACHADO,2.1493288590604025
3139201,MG,158,496.446835443038,534.9113924050633,513.8518987341772,555.087341772152,640.126582278481,548.0848101265823,MALACACHETA,1.3287037037037037
3139300,MG,314,466.4528662420382,490.6324840764331,479.43566878980886,486.63089171974525,587.0063694267516,502.03165605095535,MANGA,1.0228960396039604
3139409,MG,2003,497.3494258612082,534.5601597603595,520.4257114328507,555.9658512231653,684.1138292561159,558.4829955067399,MANHUAÇU,1.679837364470392
3139508,MG,309,499.5527508090615,545.5640776699029,533.2411003236246,564.0501618122977,679.7411003236246,564.4298381877022,MANHUMIRIM,1.6529255319148937
3139607,MG,300,494.5956666666667,523.082,518.3366666666667,546.616,643.6,545.2460666666667,MANTENA,1.7228571428571429
3140001,MG,904,506.22400442477874,543.7147123893805,535.0931415929203,557.1446902654867,662.5442477876106,560.9441592920354,MARIANA,2.05324427480916
3140704,MG,241,501.8634854771785,541.7307053941909,533.7045643153527,568.4792531120332,647.9668049792531,558.7489626556018,MATEUS LEME,2.0815217391304346
3141108,MG,410,498.7824390243902,541.579024390244,532.6658536585365,553.6517073170731,661.2682926829268,557.5894634146341,MATOZINHOS,1.9904545454545455
3141801,MG,386,487.8932642487046,512.7370466321244,498.7981865284974,523.2461139896373,617.720207253886,528.07896373057,MINAS NOVAS,1.1776729559748427
3142908,MG,401,478.1760598503741,510.9790523690773,497.6920199501247,531.9640897755611,637.5561097256858,531.2734663341646,MONTE AZUL,1.1030405405405406
